frame,t,dt,tx,ty,tz,qw,qx,qy,qz
102,3.0909092,0.0303030,0.0637307,-0.0025618,0.0007407,0.9997741,0.0038446,-0.0058827,-0.0200596
103,3.1212122,0.0303030,0.0634918,-0.0025970,0.0007720,0.9997702,0.0022649,-0.0061210,-0.0204218
104,3.1515152,0.0303030,0.0633272,-0.0026047,0.0007865,0.9997694,0.0006515,-0.0062194,-0.0205444
105,3.1818182,0.0303030,0.0632010,-0.0025738,0.0007802,0.9997729,-0.0014391,-0.0061393,-0.0203583
106,3.2121212,0.0303030,0.0630914,-0.0025190,0.0007548,0.9997790,-0.0028859,-0.0059194,-0.0199670
107,3.2424242,0.0303030,0.0631143,-0.0024760,0.0007265,0.9997879,-0.0026113,-0.0057007,-0.0196152
108,3.2727275,0.0303030,0.0633365,-0.0023889,0.0006887,0.9997950,-0.0050042,-0.0053400,-0.0188780
109,3.3030305,0.0303030,0.0637490,-0.0022401,0.0006230,0.9997976,-0.0085215,-0.0047333,-0.0176003
110,3.3333335,0.0303030,0.0643260,-0.0020289,0.0005288,0.9997954,-0.0119903,-0.0039189,-0.0158121
111,3.3636365,0.0303030,0.0650265,-0.0017593,0.0004156,0.9997877,-0.0152141,-0.0029886,-0.0135728
112,3.3939395,0.0303030,0.0658030,-0.0014386,0.0002961,0.9997754,-0.0180214,-0.0020515,-0.0109670
113,3.4242425,0.0303030,0.0666003,-0.0010750,0.0001838,0.9997607,-0.0202866,-0.0012147,-0.0080935
114,3.4545455,0.0303030,0.0673672,-0.0006786,0.0000913,0.9997464,-0.0219425,-0.0005669,-0.0050524
115,3.4848485,0.0303030,0.0680537,-0.0002631,0.0000291,0.9997340,-0.0229819,-0.0001689,-0.0019354
116,3.5151515,0.0303030,0.0686232,0.0001624,0.0000033,0.9997243,-0.0234501,-0.0000526,0.0011818
117,3.5454547,0.0303030,0.0690482,0.0005860,0.0000173,0.9997166,-0.0234230,-0.0002242,0.0042420
118,3.5757577,0.0303030,0.0693123,0.0010012,0.0000701,0.9997095,-0.0229904,-0.0006712,0.0072052
119,3.6060607,0.0303030,0.0694140,0.0013991,0.0001589,0.9997014,-0.0222340,-0.0013687,0.0100457
120,3.6363637,0.0303030,0.0693634,0.0017754,0.0002795,0.9996909,-0.0212191,-0.0022843,0.0127459
121,3.6666667,0.0303030,0.0691831,0.0021256,0.0004254,0.9996776,-0.0199851,-0.0033799,0.0152913
122,3.6969697,0.0303030,0.0689039,0.0024472,0.0005906,0.9996613,-0.0185496,-0.0046115,0.0176651
123,3.7272727,0.0303030,0.0685667,0.0027363,0.0007671,0.9996426,-0.0169047,-0.0059274,0.0198435
124,3.7575760,0.0303030,0.0682166,0.0029906,0.0009473,0.9996232,-0.0150262,-0.0072655,0.0217934
125,3.7878790,0.0303030,0.0679032,0.0032063,0.0011217,0.9996670,-0.0064465,-0.0084024,0.0235328
126,3.8181820,0.0303030,0.0676723,0.0033978,0.0012369,0.9996438,-0.0002324,-0.0091351,0.0250749
127,3.8484850,0.0303030,0.0675678,0.0035592,0.0012968,0.9996079,-0.0002431,-0.0095914,0.0263053
128,3.8787880,0.0303030,0.0676220,0.0036716,0.0013390,0.9995834,-0.0002495,-0.0098962,0.0271134
